                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4232,                 3.7633,                 1.6455,                  0.034,                 0.2911,                0.05061,                0.01901,                 1.3567,                  3.832,                 1.0017,              0.0002625,              0.0002625,              0.0002625
                      2,                  2.264,                 2.6395,                 1.4768,                0.15398,                0.47049,                0.17493,                0.11477,                 1.3555,                 3.0982,                 1.0893,             0.00053697,             0.00053697,             0.00053697
                      3,                 2.3017,                  2.172,                 1.4672,                0.21141,                0.52348,                0.25998,                0.15389,                 1.5791,                 2.3603,                  1.134,             0.00081089,             0.00081089,             0.00081089
                      4,                 2.2041,                 1.9968,                 1.4383,                0.28461,                0.58453,                0.28461,                0.15982,                 1.5467,                 2.1675,                 1.2049,              0.0010843,              0.0010843,              0.0010843
                      5,                 2.1155,                 1.8459,                 1.4148,                0.24296,                0.42093,                0.22609,                0.14938,                 1.4079,                 2.0509,                 1.1108,              0.0012451,              0.0012451,              0.0012451
                      6,                 2.1058,                 1.7285,                 1.4415,                0.25755,                0.51092,                0.23571,                0.15906,                 1.3163,                 1.9631,                 1.1043,              0.0012438,              0.0012438,              0.0012438
                      7,                  2.022,                 1.6721,                 1.4108,                0.51114,                0.50602,                0.24415,                0.16194,                 1.3247,                 1.6875,                 1.0491,              0.0012426,              0.0012426,              0.0012426
                      8,                 1.9738,                 1.6159,                 1.3865,                0.52286,                0.54667,                0.27167,                0.18473,                  1.182,                 1.4158,                 1.0332,              0.0012413,              0.0012413,              0.0012413
                      9,                 1.9299,                 1.5991,                 1.3697,                0.35735,                0.59687,                0.28905,                0.21045,                 1.0076,                 1.3625,                 1.0418,              0.0012401,              0.0012401,              0.0012401
                     10,                 1.8705,                 1.5563,                 1.3537,                0.31723,                0.63228,                0.29699,                 0.2041,                   1.11,                 1.4737,                 1.0852,              0.0012389,              0.0012389,              0.0012389
                     11,                 1.8431,                 1.5457,                  1.355,                0.33939,                0.58953,                0.29581,                0.21754,                0.96218,                 1.3453,                0.96617,              0.0012376,              0.0012376,              0.0012376
                     12,                 1.8504,                 1.5397,                 1.3413,                0.35022,                  0.577,                0.28926,                0.19822,                 1.1117,                 1.2452,                0.95712,              0.0012364,              0.0012364,              0.0012364
                     13,                 1.7921,                 1.5386,                 1.3466,                0.34112,                0.61079,                 0.3018,                0.20331,                 1.0576,                 1.2722,                0.98172,              0.0012351,              0.0012351,              0.0012351
                     14,                 1.7752,                 1.5176,                 1.3239,                0.28253,                0.53321,                0.25895,                0.18867,                 1.0927,                 1.2695,                0.98896,              0.0012339,              0.0012339,              0.0012339
                     15,                 1.8055,                 1.5018,                 1.3176,                0.35519,                0.59861,                 0.3011,                0.20482,                 1.1047,                 1.1995,                0.94249,              0.0012327,              0.0012327,              0.0012327
                     16,                 1.7952,                 1.5398,                 1.3245,                 0.2793,                0.51087,                 0.2689,                 0.1903,                 1.1225,                 1.1877,                0.97401,              0.0012314,              0.0012314,              0.0012314
                     17,                 1.8133,                 1.5262,                 1.3445,                0.26642,                0.52304,                0.25356,                0.19969,                0.95524,                 1.3616,                0.98501,              0.0012302,              0.0012302,              0.0012302
                     18,                 1.7422,                 1.5003,                 1.3088,                0.32802,                0.62246,                0.30991,                0.22067,                0.97961,                 1.1592,                0.95899,               0.001229,               0.001229,               0.001229
                     19,                 1.7587,                 1.4845,                 1.3141,                0.29455,                0.55275,                0.26786,                0.20451,                0.93373,                 1.1744,                0.97096,              0.0012277,              0.0012277,              0.0012277
